crate,file,line,event_type,category,fields_used,status
vox-actor-runtime,src/activity.rs,31,ResearchMetric,research_metrics,"session_id,metric_type,metric_value,metadata_json",existing
vox-actor-runtime,src/llm/cascade.rs,37,AiFixture,ai_fixture,"stage,outcome,error,redact_count",existing
vox-actor-runtime,src/llm/cascade.rs,59,AiFixture,ai_fixture,"stage,outcome,error,redact_count",existing
vox-actor-runtime,src/llm/chat.rs,136,Error,errors,"subsystem,error_class,http_status,retry_attempt,retried,model,provider,task_id,trace_id",existing
vox-audit,src/lib.rs,385,AuditRun,agent_orchestration,"thing,outcome,corpus_hash,corpus_size,duration_seconds,cumulative_cost_usd,unreachable_panel_member_count,panel_version,umbrella_run,repository_id",existing
vox-cli,src/commands/ci/build_timings.rs,244,BuildSummary,build,"build_id,outcome,wall_time_ms,crates_compiled,error_count,invocation_context",existing
vox-cli,src/commands/ci/build_timings.rs,405,BuildSummary,build,"build_id,outcome,wall_time_ms,crates_compiled,error_count,invocation_context",existing
vox-cli,src/commands/diagnostics/doctor/project_check.rs,198,DoctorProjectCheck,errors,"project_root,files_total,files_passing,files_failing,outcome,duration_seconds,repository_id",existing
vox-cli,src/commands/repair.rs,130,RepairAttempt,agent_orchestration,"attempt_number,diagnostics_in,diagnostics_out,files_touched,cost_usd,duration_ms,panel_member_id,repository_id",existing
vox-cli,src/commands/repair.rs,151,RepairOutcome,agent_orchestration,"final_state,attempts_used,attempts_budget,total_cost_usd,total_duration_ms,residual_diagnostics,note,repository_id",existing
vox-code-audit,src/engine.rs,506,LintFinding,build,"rule_id,diagnostic_id,severity,relative_path,line,autofix_available,confidence,repository_id",existing
vox-codegen,src/codegen_rust/emit/ai_fixture/llm.rs,100,SearchDispatch,agent_orchestration,"corpus,outcome,error,top_k",existing
vox-codegen,src/codegen_rust/emit/ai_fixture/llm.rs,131,SearchDispatch,agent_orchestration,"corpus,outcome,error,top_k",existing
vox-codegen,src/codegen_rust/emit/ai_fixture/llm.rs,160,SearchDispatch,agent_orchestration,"corpus,outcome,error,top_k",existing
vox-codegen,src/codegen_rust/emit/ai_fixture/llm.rs,381,ModelIntent,model_calls,"task_category,strengths,tier_max,resolved_model_hint,trace_id",existing
vox-db,src/telemetry_sink.rs,14,Error,errors,"subsystem,error_class,http_status,retry_attempt,retried,model,provider,task_id,trace_id",existing
vox-db,src/telemetry_sink.rs,122,ModelDiscovery,model_calls,"source,model_id,description,max_context_tokens",existing
vox-db,src/telemetry_sink.rs,211,ModelClassification,model_calls,"model_id,classifier_model,tier,strengths,confidence",existing
vox-db,src/telemetry_sink.rs,222,ConfidencePromotion,model_calls,"model_id,from,to,evidence",existing
vox-orchestrator,src/circuit_breaker.rs,314,Error,errors,"subsystem,error_class,http_status,retry_attempt,retried,model,provider,task_id,trace_id",existing
vox-orchestrator,src/models/autonomic.rs,122,ModelDiscovery,model_calls,"source,model_id,description,max_context_tokens",existing
vox-orchestrator,src/models/autonomic.rs,222,ModelClassification,model_calls,"model_id,classifier_model,tier,strengths,confidence",existing
vox-orchestrator,src/models/autonomic.rs,283,ConfidencePromotion,model_calls,"model_id,from,to,evidence",existing
vox-orchestrator,src/models/select.rs,668,SelectionDecision,model_calls,"intent_caller,task,axes,chosen_model,reason,premium_alias_key,repository_id",existing
vox-orchestrator,src/orchestrator/agent/lifecycle_ops.rs,19,ResearchMetric,research_metrics,"session_id,metric_type,metric_value,metadata_json",existing
vox-orchestrator,src/registry_model_resolve.rs,268,SelectionDecision,model_calls,"intent_caller,task,axes,chosen_model,reason,premium_alias_key,repository_id",existing
vox-orchestrator,src/subagent_dispatch.rs,124,SubagentDispatch,agent_orchestration,"metric_type,decision,complexity,chain_depth,session_id,parent_task_id,span_depth,dispatch_latency_ms",existing
vox-orchestrator-mcp,src/dispatch.rs,221,TaskRootSummary,agent_orchestration,"task_id",existing
vox-orchestrator-mcp,src/llm_bridge/infer.rs,216,ResearchMetric,research_metrics,"session_id,metric_type,metric_value,metadata_json",existing
vox-orchestrator-mcp,src/llm_bridge/infer.rs,240,Error,errors,"subsystem,error_class,http_status,retry_attempt,retried,model,provider,task_id,trace_id",existing
vox-orchestrator-mcp,src/llm_bridge/infer.rs,571,ModelCall,model_calls,"model,provider,route_profile,selection_rationale,prompt_tokens,completion_tokens,cache_read_input_tokens,cache_creation_input_tokens,latency_ms,cost_usd,cost_source,error_class,retry_attempt,task_id,parent_task_id,trace_id,caller_agent_id",existing
vox-orchestrator-mcp,src/task_tools/lifecycle.rs,50,TaskRootSummary,agent_orchestration,"task_id,trace_id,repository_id,outcome,wall_time_ms,total_input_tokens,total_output_tokens,total_cost_usd,child_call_count,max_span_depth,subagent_fanout",existing
vox-orchestrator-mcp,src/task_tools/lifecycle.rs,107,TaskRootSummary,agent_orchestration,"task_id,trace_id,repository_id,outcome,wall_time_ms,total_input_tokens,total_output_tokens,total_cost_usd,child_call_count,max_span_depth,subagent_fanout",existing
vox-orchestrator-mcp,src/task_tools/lifecycle.rs,192,TaskRootSummary,agent_orchestration,"task_id,trace_id,repository_id,outcome,wall_time_ms,total_input_tokens,total_output_tokens,total_cost_usd,child_call_count,max_span_depth,subagent_fanout",existing
vox-plugin-host,src/telemetry.rs,33,ResearchMetric,research_metrics,"session_id,metric_type,metric_value,metadata_json",existing
vox-plugin-host,src/telemetry.rs,50,ResearchMetric,research_metrics,"session_id,metric_type,metric_value,metadata_json",existing
vox-cli,src/cli_dispatch/mod.rs,89,CommandUsage,command_usage,"verb,exit_class,duration_bucket",proposed
